Model,Manufacturer,Firebox Volume,Emission Rate Annual Average (lb/mmBTU),Heat Output Maximum (BTUs),Efficiency,Type,Subtype,Fuel Type,Test Method,CO,NSPS Compliance 2020
"Central Boiler Classic Edge 360, WoodMaster– CleanFire 300",Central Boiler Inc.- WoodMaster Inc.,9.98,0.12,148625,82,Hydronic Heater,Non-Catalytic Stove,Cord Wood,,4.35,Yes
Crown Royal Stoves 7300E,Greentech Manufacturing Inc.,12.83,0.08,199000,75,Hydronic Heater,Non-Catalytic Stove,Cord Wood,,3.1,Yes
ECO-HK 120 Multifuel,Hargassner GmbH,Not Applicable,0.04,409500,88,Hydronic Heater,Non-Catalytic Stove,Wood Pellets,,0.031,Yes
Pellematic 20,"Maine Energy Systems, LLC",Not Applicable,0.02,68300,77,Hydronic Heater,Non-Catalytic Stove,Wood Pellets,,0.025,Yes
Pellematic 32,"Maine Energy Systems, LLC",Not Applicable,0.02,109000,77,Hydronic Heater,Non-Catalytic Stove,Wood Pellets,,0.025,Yes
Pellematic 56,"Maine Energy Systems, LLC",Not Applicable,0.04,191000,84,Hydronic Heater,Non-Catalytic Stove,Wood Pellets,,0.047,Yes
G Series G7000,"HeatMaster Furnaces, Inc.",16.3,0.06,210000,81,Hydronic Heater,Non-Catalytic Stove,Cord Wood,,1.55,Yes
Crown Royal Stoves 7200E,Greentech Manufacturing Inc.,6.11,0.08,125000,77,Hydronic Heater,Non-Catalytic Stove,Cord Wood,,2.8,Yes
AutoPellet Air 28kW,"Maine Energy Systems, LLC",Not Applicable,0.06,,89,Forced Air Furnace,Non-Catalytic Stove,Wood Pellets,,0.029,Yes
G Series G4000,"HeatMaster Furnaces, Inc.",8.5,0.1,110000,86,Hydronic Heater,Non-Catalytic Stove,Cord Wood,,1.6,Yes
"Central Boiler Classic Edge 960, WoodMaster CleanFire 900",Central Boiler Inc.- WoodMaster Inc.,32,0.06,400000,86,Hydronic Heater,Non-Catalytic Stove,Cord Wood,,2.94,Yes
Maxim M255 PE,Central Boiler Inc.- WoodMaster Inc.,Not Applicable,0.03,182504,89,Hydronic Heater,Non-Catalytic Stove,Wood Pellets,,0.129,Yes
"Smart PK32, Nano PK32",Hargassner GmbH,Not Applicable,0.05,115000,87,Hydronic Heater,Non-Catalytic Stove,Wood Pellets,,0.023,Yes
