Model,Manufacturer,Firebox Volume,Emission Rate (grams/hr),Heat Ouput Range (BTUs),Heat Output Upper (BTUs),Heat Output Lower (BTUs),Efficiency,Type,Subtype,Fuel Type,Test Method,CO,NSPS Compliance 2020
"GV230GL, ML230GL ",Innovative Hearth Products,2.28,1.7,33911-12631,33911,12631,74,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.78,Yes
Vermont Castings Defiant 1975-CAT-C ,Hearth and Home Technologies,3.25,1.3,25471-11974,25471,11974,78,Wood Stove,Catalytic Stove,Crib Wood,,1.46,Yes
"ComfortBilt HP22N, HP22, and HP22i Insert ","SMG Hearth and Home, LLC",Not Applicable,1,40689-12820,40689,12820,81,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0,Yes
King KE40,"Blaze King Industries, Inc.",4.55,1,38516-10392,38516,10392,81,Wood Stove,Catalytic Stove,Crib Wood,,0.49,Yes
"6100 B Series (6140 B, 6143 B, 6148 B, 6170 B)",Morso Jernstoberi A/S,0.522,1.8,19067-11892,19067,11892,74,Wood Stove,Non-Catalytic Stove,Crib Wood,,0.79,Yes
"4840, KP500, AP5000, Comfort Glow WMPS7000, DuraHeat DHPS7000",United States Stove Company,Not Applicable,1.4,12161-7164,12161,7164,72,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.31,Yes
"6041, 6041I, SP6000 ",United States Stove Company,Not Applicable,1.3,21811-7540,21811,7540,58,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.46,Yes
"US1269E, USLW900, CGWS900",United States Stove Company,1.145,1.8,29234-26300,29234,26300,67,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.87,Yes
"GW1949, AP77, SW1117",United States Stove Company,Not Applicable,0.8,27220-12706,27220,12706,70,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.24,Yes
"STUV 1668IN, STUV 1668 CUBE, STUV 1668H, STUV 1668-Z",STUV AMERICA Inc.,1.94,1.7,23727-22179,23727,22179,66,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.7,Yes
"US1800E, VG1820, AW1820E, CH18, NM690, SW1.8, AHWS1820, KW1820, Comfort Glow CGWI1800, DuraHeat DHWI1800",United States Stove Company,1.2,1.8,28445-10689,28445,10689,73,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.2,Yes
"Norflam Harbor Light, Sierra Flame Lynwood W76, SBI Cape Town 1800",Dovre Incorporated,1.554,1.9,51616-13927,51616,13927,76,Wood Stove,Non-Catalytic Stove,Cord Wood,,1.3,Yes
"Quadra-Fire 21M-ACC-C, Discovery-1-C, FF-WP-100

",Hearth and Home Technologies,1.48,1.7,29322-13585,29322,13585,76,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.5,Yes
"Quadra-Fire 43M-ACC-C, 43ST-ACC-C, Discovery-III-C, FF-WP-300",Hearth and Home Technologies,2.26,1.6,36757-13239,36757,13239,74,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.9,Yes
Charnwood Skye E700,A. J. Wells and Sons LTD,0.82,1.7,29850-10520,29850,10520,77,Wood Stove,Non-Catalytic Stove,Cord Wood,,0.8,Yes
"Bari 8171, Bari Plus 8172
",Hearthstone Quality Home Heating Products Inc.,1.25,0.94,26036-14065,26036,14065,76,Wood Stove,Hybrid,Crib Wood,,0.07,Yes
"Model 91, Carolina 92",New Buck Corporation (Buck Stove Corp.),3.07,1.3,43190-14206,43190,14206,80,Wood Stove,Catalytic Stove,Crib Wood,,0.6,Yes
"US1100E, US1100EC, VG1120, AW1120E, CH11, NM680, SW1.2, AHWS1120, US1100E-P, US1100E-L, US1100E-BP, US1100E-BL, AW1120E-P, AW1120E-L, 1120E-BP, AW1120E-BL, VG1120-P, VG1120-L, VG1120-BP, VG1120-BL, US1100EC-P, US1100EC-L, US1100EC-BP, US1100EC-BL, King KW1100E-L, CH11-L, KW12, DHWS 1500, CGWS1500",United States Stove Company,1.31,2.4,39683-13846,39683,13846,66,Wood Stove,Non-Catalytic Stove,Cord Wood,,1.5,Yes
ComfortBilt HP50S,"SMG Hearth and Home, LLC",Not Applicable,1.7,39170-17794,39170,17794,80,Pellet Stove,Hybrid,Wood Pellets,,0,Yes
